step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
10,169.135,6.6379,5.8081,1777503955.968,5.584,16
11,19.0193,5.1823,4.5345,1777503956.58,5.733,16
11,20.4433,4.5409,3.9733,1777503956.636,5.3,16
11,19.088,5.5791,4.8817,1777503956.684,5.454,16
11,24.0434,3.9593,3.4644,1777503956.747,5.631,16
11,23.1736,3.5507,3.1068,1777503956.784,5.375,16
11,20.2821,4.0573,3.5501,1777503956.843,5.421,16
11,19.4749,5.0167,4.3896,1777503956.886,5.552,16
11,24.5692,3.9263,3.4356,1777503956.936,5.359,16
11,24.3954,3.1538,2.7596,1777503957.0,5.505,16
11,19.6338,4.6256,4.0474,1777503957.052,5.546,16
11,25.3461,3.9328,3.4412,1777503957.108,5.514,16
11,14.9171,6.7117,5.8728,1777503957.146,5.523,16
11,22.9099,4.2943,3.7575,1777503957.192,5.43,16
11,16.2601,5.7209,5.0058,1777503957.236,5.52,16
11,12.5372,8.0221,7.0193,1777503957.308,5.461,16
11,33.7404,2.9139,2.5496,1777503957.343,5.473,16
11,178.6074,5.8273,5.0989,1777503957.516,5.583,16
12,30.3535,2.6136,2.2869,1777503958.108,5.37,16
12,15.1667,5.4849,4.7993,1777503958.142,5.267,16
12,13.7552,6.4891,5.678,1777503958.172,5.575,16
12,20.7653,4.4415,3.8863,1777503958.224,5.52,16
12,19.4106,5.286,4.6252,1777503958.256,5.633,16
12,8.933,10.5068,9.1935,1777503958.276,5.635,16
12,41.8386,2.2724,1.9884,1777503958.332,5.416,16
12,4.8217,18.6432,16.3128,1777503958.349,5.352,16
12,23.6361,3.7093,3.2457,1777503958.386,5.464,16
12,28.4627,3.5291,3.088,1777503958.432,5.672,16
12,19.0979,4.3954,3.846,1777503958.478,5.539,16
12,22.2586,3.8872,3.4013,1777503958.513,5.547,16
12,18.0654,5.1695,4.5233,1777503958.556,5.317,16
12,3.9408,25.7278,22.5118,1777503958.574,5.439,16
12,18.3339,4.9279,4.3119,1777503958.606,5.393,16
12,15.2535,5.8635,5.1306,1777503958.623,5.543,16
12,149.0964,6.9403,6.0728,1777503958.768,5.533,16
13,10.3784,9.3571,8.1875,1777503959.353,5.632,16
13,32.9367,2.7869,2.4386,1777503959.404,5.352,16
13,41.2233,2.485,2.1744,1777503959.452,5.467,16
13,31.257,3.2887,2.8776,1777503959.506,5.538,16
13,23.6803,3.9438,3.4508,1777503959.539,5.535,16
13,20.9294,5.2132,4.5616,1777503959.571,5.708,16
13,22.007,4.3124,3.7734,1777503959.613,5.516,16
13,21.0947,4.8593,4.2519,1777503959.652,5.415,16
13,25.2,3.845,3.3644,1777503959.691,5.497,16
13,20.7157,4.6704,4.0866,1777503959.724,5.417,16
13,19.3054,4.2671,3.7337,1777503959.758,5.293,16
13,5.9128,14.5351,12.7182,1777503959.774,5.454,16
13,10.6063,8.6898,7.6036,1777503959.82,5.694,16
13,15.9261,6.4504,5.6441,1777503959.855,5.404,16
13,25.6685,3.7792,3.3068,1777503959.896,5.459,16
13,13.9801,6.5974,5.7728,1777503959.911,5.519,16
13,152.4809,7.2319,6.3279,1777503960.06,5.466,16
14,31.8064,3.2199,2.8174,1777503960.655,5.386,16
14,11.9351,7.9117,6.9228,1777503960.68,5.76,16
14,30.1582,3.1854,2.7872,1777503960.726,5.643,16
14,24.6691,3.8539,3.3722,1777503960.764,5.558,16
14,18.3869,5.1097,4.471,1777503960.796,5.483,16
14,15.5434,5.6934,4.9817,1777503960.826,5.543,16
14,16.1965,5.4302,4.7515,1777503960.856,5.567,16
14,20.9606,4.8936,4.2819,1777503960.889,5.537,16
14,4.7821,19.2843,16.8738,1777503960.906,5.545,16
14,16.8391,5.4665,4.7832,1777503960.936,5.594,16
14,20.2656,3.9748,3.478,1777503960.971,5.466,16
14,20.4515,3.8798,3.3949,1777503961.008,5.35,16
14,20.4802,5.1112,4.4723,1777503961.04,5.59,16
14,4.6149,19.274,16.8648,1777503961.059,5.35,16
14,9.7064,7.4175,6.4903,1777503961.082,5.446,16
14,25.2648,4.459,3.9016,1777503961.109,5.543,16
14,197.0321,5.0938,4.4571,1777503961.3,5.547,16
15,24.9625,3.3087,2.8951,1777503961.876,5.47,16
15,8.13,11.7013,10.2386,1777503961.897,5.491,16
15,18.6835,5.3711,4.6997,1777503961.929,5.534,16
15,3.9055,25.4579,22.2757,1777503961.945,5.431,16
15,15.2378,6.6387,5.8089,1777503961.972,5.663,16
15,24.8325,3.5057,3.0675,1777503962.008,5.411,16
15,18.3476,5.6937,4.982,1777503962.04,5.481,16
15,20.6216,5.0908,4.4545,1777503962.094,5.456,16
15,27.1506,3.8808,3.3957,1777503962.14,5.513,16
15,16.4423,5.8586,5.1263,1777503962.18,5.656,16
15,20.2788,4.5195,3.9545,1777503962.216,5.406,16
15,15.8183,5.7524,5.0333,1777503962.247,5.545,16
15,12.1683,6.7847,5.9366,1777503962.276,5.564,16
15,29.7431,3.0364,2.6569,1777503962.325,5.615,16
15,25.8892,2.9472,2.5788,1777503962.364,5.421,16
15,13.6371,5.9871,5.2387,1777503962.379,5.417,16
15,164.7471,6.5038,5.6909,1777503962.539,5.482,16
16,6.6357,13.9346,12.1928,1777503963.022,5.484,16
16,15.1199,6.3437,5.5507,1777503963.054,5.399,16
16,4.8699,20.4762,17.9167,1777503963.097,5.566,16
16,15.2286,6.3885,5.5899,1777503963.13,5.556,16
16,16.4376,5.8778,5.1431,1777503963.158,5.704,16
16,16.4527,5.6965,4.9844,1777503963.195,5.469,16
16,20.5004,4.3263,3.7855,1777503963.228,5.397,16
16,11.9079,7.1368,6.2447,1777503963.271,5.411,16
16,23.1506,4.0537,3.547,1777503963.323,5.533,16
16,16.221,5.8422,5.1119,1777503963.352,5.423,16
16,20.8197,4.8597,4.2522,1777503963.384,5.574,16
16,22.5757,4.1272,3.6113,1777503963.422,5.435,16
16,20.7206,4.7548,4.1604,1777503963.468,5.519,16
16,22.0544,3.7836,3.3107,1777503963.502,5.493,16
16,22.474,4.2876,3.7516,1777503963.532,5.41,16
16,11.576,8.2769,7.2423,1777503963.545,5.355,16
16,166.2332,6.9962,6.1217,1777503963.706,5.625,16
17,16.2356,5.6957,4.9838,1777503964.22,5.536,16
17,18.4813,4.1223,3.607,1777503964.254,5.384,16
17,14.1819,6.4986,5.6863,1777503964.284,5.393,16
17,30.4583,3.2758,2.8663,1777503964.336,5.7,16
17,14.0921,6.0669,5.3086,1777503964.363,5.416,16
17,12.5184,7.6813,6.7211,1777503964.381,5.661,16
17,21.7218,3.9201,3.4301,1777503964.414,5.525,16
17,17.8645,6.0528,5.2962,1777503964.446,5.335,16
17,21.5694,3.9272,3.4363,1777503964.481,5.458,16
17,28.2749,3.1989,2.799,1777503964.527,5.581,16
17,20.39,4.7182,4.1284,1777503964.561,5.323,16
17,26.341,3.7307,3.2644,1777503964.608,5.442,16
17,16.2826,6.3874,5.5889,1777503964.645,5.437,16
17,30.0693,2.9789,2.6065,1777503964.71,5.554,16
17,25.0224,4.0021,3.5018,1777503964.748,5.545,16
17,27.6727,2.9507,2.5818,1777503964.777,5.554,16
17,155.9224,6.1809,5.4083,1777503964.928,5.524,16
18,35.0088,2.3888,2.0902,1777503965.5,5.545,16
18,23.2559,3.7964,3.3219,1777503965.543,5.372,16
18,21.1134,4.7254,4.1347,1777503965.585,5.524,16
18,18.5286,4.8436,4.2381,1777503965.617,5.645,16
18,20.6553,4.4082,3.8572,1777503965.656,5.503,16
18,14.1766,6.8007,5.9506,1777503965.683,5.438,16
18,16.7336,5.8528,5.1212,1777503965.715,5.447,16
18,23.188,3.9362,3.4442,1777503965.754,5.636,16
18,16.903,5.1188,4.479,1777503965.781,5.259,16
18,8.5886,12.4051,10.8545,1777503965.804,5.755,16
18,18.9934,4.808,4.207,1777503965.836,5.306,16
18,14.2112,6.4762,5.6667,1777503965.864,5.471,16
18,4.154,22.3752,19.5783,1777503965.885,5.389,16
18,17.213,5.7373,5.0201,1777503965.92,5.552,16
18,20.7695,4.0009,3.5008,1777503965.956,5.57,16
18,14.3969,7.6321,6.6781,1777503965.972,5.517,16
18,156.3642,6.5381,5.7208,1777503966.124,5.486,16
19,13.5475,7.3095,6.3958,1777503966.725,5.327,16
19,4.4132,21.6671,18.9587,1777503966.743,5.461,16
19,15.4835,6.9966,6.122,1777503966.783,5.483,16
19,22.1649,4.8262,4.223,1777503966.83,5.39,16
19,26.6535,3.7073,3.2439,1777503966.87,5.532,16
19,22.6689,3.874,3.3897,1777503966.904,5.518,16
19,19.959,5.1874,4.5389,1777503966.935,5.468,16
19,17.2915,4.7194,4.1295,1777503966.968,5.498,16
19,19.5629,4.4762,3.9167,1777503966.996,5.466,16
19,31.4668,2.9798,2.6073,1777503967.038,5.329,16
19,20.1756,4.0733,3.5641,1777503967.07,5.548,16
19,7.2066,12.5488,10.9802,1777503967.088,5.244,16
19,24.1149,4.1595,3.6395,1777503967.128,5.527,16
19,19.7731,4.5005,3.938,1777503967.16,5.368,16
19,37.9209,2.6553,2.3234,1777503967.22,5.535,16
19,23.6752,4.7464,4.1531,1777503967.245,5.542,16
19,159.9156,6.774,5.9273,1777503967.4,5.483,16
20,33.8254,2.9725,2.6009,1777503967.998,5.563,16
20,22.8439,4.5453,3.9771,1777503968.041,5.448,16
20,21.81,4.1767,3.6546,1777503968.1,5.452,16
20,16.8547,5.9539,5.2097,1777503968.148,5.65,16
20,32.1932,2.8241,2.4711,1777503968.204,5.458,16
20,4.7063,20.558,17.9883,1777503968.225,5.475,16
20,23.4508,4.3312,3.7898,1777503968.26,5.275,16
20,41.5961,2.1189,1.8541,1777503968.308,5.422,16
20,24.1513,3.1825,2.7847,1777503968.343,5.404,16
20,21.7766,4.0167,3.5146,1777503968.396,5.48,16
20,6.3468,16.1943,14.17,1777503968.416,5.475,16
20,12.7104,6.8131,5.9614,1777503968.45,5.494,16
20,16.9305,6.0425,5.2871,1777503968.482,5.402,16
20,13.9089,6.2913,5.5048,1777503968.525,5.556,16
20,22.326,4.1525,3.6334,1777503968.56,5.565,16
20,11.1957,8.4208,7.3682,1777503968.572,5.57,16
20,206.5318,4.666,4.0827,1777503968.764,5.499,16
21,19.9176,4.6587,4.0764,1777503974.139,5.378,16
21,41.1743,2.0055,1.7548,1777503974.236,5.569,16
21,7.2767,12.606,11.0303,1777503974.319,5.398,16
21,12.4746,7.5075,6.5691,1777503974.36,5.613,16
21,10.2983,7.4925,6.5559,1777503974.404,5.35,16
21,28.349,3.0834,2.698,1777503974.492,5.646,16
21,12.4451,7.7552,6.7858,1777503974.581,5.577,16
21,15.6105,5.4944,4.8076,1777503974.642,5.388,16
21,17.682,5.5288,4.8377,1777503974.699,5.506,16
21,23.6052,4.1738,3.6521,1777503974.767,5.481,16
21,32.458,2.9724,2.6009,1777503974.88,5.516,16
21,22.2043,4.515,3.9506,1777503974.932,5.581,16
21,17.2518,4.7618,4.1666,1777503974.998,5.275,16
21,35.2137,2.895,2.5331,1777503975.096,5.619,16
21,19.9959,4.3346,3.7927,1777503975.155,5.314,16
21,13.8706,6.8582,6.0009,1777503975.2,5.593,16
21,207.8219,5.7827,5.0599,1777503975.401,5.552,16
